Область,Рік,Макс. бал з фізики
Івано-Франківська область,2019,"199,0"
Волинська область,2019,"198,0"
Вінницька область,2019,"197,0"
Дніпропетровська область,2019,"200,0"
Донецька область,2019,"192,0"
Житомирська область,2019,"194,0"
Закарпатська область,2019,"195,0"
Запорізька область,2019,"195,0"
Київська область,2019,"198,0"
Кіровоградська область,2019,"194,0"
Луганська область,2019,"197,0"
Львівська область,2019,"200,0"
Миколаївська область,2019,"198,0"
Одеська область,2019,"199,0"
Полтавська область,2019,"195,0"
Рівненська область,2019,"195,0"
Сумська область,2019,"199,0"
Тернопільська область,2019,"199,0"
Харківська область,2019,"199,0"
Херсонська область,2019,"195,0"
Хмельницька область,2019,"195,0"
Черкаська область,2019,"197,0"
Чернівецька область,2019,"195,0"
Чернігівська область,2019,"199,0"
м.Київ,2019,"200,0"
Івано-Франківська область,2020,"200,0"
Волинська область,2020,"200,0"
Вінницька область,2020,"200,0"
Дніпропетровська область,2020,"200,0"
Донецька область,2020,"200,0"
Житомирська область,2020,"199,0"
Закарпатська область,2020,"196,0"
Запорізька область,2020,"199,0"
Київська область,2020,"200,0"
Кіровоградська область,2020,"200,0"
Луганська область,2020,"200,0"
Львівська область,2020,"200,0"
Миколаївська область,2020,"200,0"
Одеська область,2020,"198,0"
Полтавська область,2020,"198,0"
Рівненська область,2020,"199,0"
Сумська область,2020,"200,0"
Тернопільська область,2020,"200,0"
Харківська область,2020,"200,0"
Херсонська область,2020,"200,0"
Хмельницька область,2020,"200,0"
Черкаська область,2020,"200,0"
Чернівецька область,2020,"200,0"
Чернігівська область,2020,"200,0"
м.Київ,2020,"200,0"
